                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.61147,                0.41763,                0.92929,                 0.8963,                0.85484,                0.90177,                0.63996,                 1.0501,                0.76394,                0.95919,              0.0007625,              0.0007625,              0.0007625
                    127,                0.60142,                0.42007,                 0.9142,                0.88363,                0.87097,                0.91711,                0.59676,                  1.056,                0.81765,                0.95482,              0.0007526,              0.0007526,              0.0007526
                    128,                0.60341,                0.42184,                0.92548,                0.89207,                0.87097,                0.89054,                0.58079,                 1.0888,                0.81362,                0.97609,              0.0007427,              0.0007427,              0.0007427
                    129,                0.61883,                0.45436,                0.92913,                0.87431,                0.89762,                0.90662,                0.60698,                 1.0889,                0.78574,                0.95996,              0.0007328,              0.0007328,              0.0007328
                    130,                0.59766,                0.42487,                0.90682,                0.87233,                0.82258,                0.91397,                0.62058,                 1.0875,                0.73995,                0.95012,              0.0007229,              0.0007229,              0.0007229
                    131,                0.59355,                0.41173,                0.91439,                0.83494,                0.85484,                0.89183,                0.62729,                 1.0587,                0.74085,                0.95913,               0.000713,               0.000713,               0.000713
                    132,                0.59126,                0.42434,                0.92245,                0.88722,                0.82258,                0.90203,                0.63295,                  1.044,                0.68811,                0.94303,              0.0007031,              0.0007031,              0.0007031
                    133,                0.60452,                0.41957,                0.91317,                0.89431,                0.81888,                0.90376,                0.63466,                 1.0339,                0.70844,                0.95207,              0.0006932,              0.0006932,              0.0006932
                    134,                0.58256,                0.41093,                0.91318,                0.90897,                0.80532,                0.90499,                0.62829,                 1.0442,                0.72583,                0.95912,              0.0006833,              0.0006833,              0.0006833
                    135,                0.58386,                0.41986,                0.93356,                0.83824,                0.87097,                0.90199,                 0.6381,                 1.0619,                0.72607,                0.96378,              0.0006734,              0.0006734,              0.0006734
                    136,                0.57103,                0.39098,                0.90212,                0.87918,                0.82161,                 0.8767,                0.58796,                  1.067,                0.76525,                0.98386,              0.0006635,              0.0006635,              0.0006635
                    137,                0.56552,                0.39809,                 0.9101,                0.84566,                0.79545,                0.87897,                0.61467,                  1.051,                0.78301,                0.98469,              0.0006536,              0.0006536,              0.0006536
                    138,                0.55414,                0.38006,                0.90646,                0.90707,                0.78724,                0.89844,                0.61508,                 1.0598,                0.82084,                0.97646,              0.0006437,              0.0006437,              0.0006437
                    139,                0.58245,                 0.4052,                0.91109,                0.92643,                0.87097,                0.92836,                0.63855,                 1.1032,                 0.8033,                0.98169,              0.0006338,              0.0006338,              0.0006338
                    140,                0.56027,                0.39005,                0.91484,                0.91381,                0.85484,                0.94174,                0.65961,                 1.0605,                0.79265,                0.97273,              0.0006239,              0.0006239,              0.0006239
                    141,                0.55624,                0.38705,                0.90159,                 0.9094,                0.80952,                 0.9299,                0.64987,                 1.0624,                0.74393,                0.96211,               0.000614,               0.000614,               0.000614
                    142,                0.57069,                0.39384,                0.89976,                0.96051,                0.80645,                0.92551,                0.63859,                 1.0598,                0.71767,                0.96857,              0.0006041,              0.0006041,              0.0006041
                    143,                0.56356,                0.38749,                0.89538,                0.83671,                0.85484,                0.91324,                0.64751,                 1.0155,                 0.7097,                 0.9383,              0.0005942,              0.0005942,              0.0005942
                    144,                0.56036,                0.39714,                0.90642,                0.86875,                0.87097,                0.92272,                0.63241,                 1.1028,                  0.774,                0.97013,              0.0005843,              0.0005843,              0.0005843
                    145,                 0.5721,                0.38977,                 0.8934,                0.94382,                0.81297,                0.92436,                0.64636,                 1.0475,                 0.7779,                0.95535,              0.0005744,              0.0005744,              0.0005744
                    146,                0.55515,                0.37929,                0.89739,                0.95319,                0.82258,                0.92533,                0.65861,                 1.0401,                0.78507,                0.97087,              0.0005645,              0.0005645,              0.0005645
                    147,                0.56283,                0.38351,                0.88818,                0.91146,                0.83027,                0.91022,                0.64085,                 1.0587,                0.79497,                0.93576,              0.0005546,              0.0005546,              0.0005546
                    148,                0.56806,                0.39021,                0.89103,                0.91039,                0.87097,                0.93364,                0.67101,                 1.0324,                0.77882,                0.93801,              0.0005447,              0.0005447,              0.0005447
                    149,                0.54739,                0.37402,                0.88746,                0.88524,                 0.8709,                0.91705,                0.65293,                 1.0616,                0.76879,                0.96435,              0.0005348,              0.0005348,              0.0005348
                    150,                0.54136,                0.36573,                0.88434,                0.86715,                0.85484,                0.90953,                0.63982,                 1.0967,                0.72333,                0.97657,              0.0005249,              0.0005249,              0.0005249
                    151,                 0.5552,                0.37582,                 0.9192,                0.91054,                0.82083,                0.91142,                0.64634,                 1.0241,                0.74222,                0.95969,               0.000515,               0.000515,               0.000515
                    152,                0.54936,                0.37209,                  0.896,                0.85264,                0.85484,                0.91297,                0.66247,                0.99276,                 0.7099,                0.95308,              0.0005051,              0.0005051,              0.0005051
